customerName,email,phone,birthDay,serialNumber,registrationDate,lastUpdateDate,shareWithResearchAsOfDate,shareWithPublicAsOfDate,shareWithFriendsAsOfDate,hasConsented
Santosh Clayton,Santosh.Clayton@test.com,8015551212,1900-01-01,50f7b4f3-7af5-4b07-a421-7b902c8d2b7c,1655564376361,1655564376361,1655564376361.0,1655564376361.0,1655564376361.0,True
Ben Khatib,Ben.Khatib@test.com,8015551212,1399-01-01,20400202-c1da-4328-8e94-5bacc7d61ecb,1655564414415,1655564414415,1655564414415.0,,1655564414415.0,True
Frank Hansen,Frank.Hansen@test.com,8015551212,1323-01-01,454a7430-d4ff-47cf-8666-7428f8a9894d,1655564131452,1655564131452,,,1655564131452.0,True
Edward Clayton,Edward.Clayton@test.com,8015551212,1754-01-01,3d798cef-bc66-4128-85af-2c9d36c251b9,1655564387419,1655564387419,,1655564387419.0,1655564387419.0,True
Edward Staples,Edward.Staples@test.com,8015551212,1631-01-01,9f14e906-5e19-4a70-9016-6e58f146d3f0,1655564397161,1655564397161,,,1655564397161.0,True
Jane Gonzalez,Jane.Gonzalez@test.com,8015551212,1141-01-01,2b6fe805-9059-4e1b-b7ed-720f5b4bf10c,1655564433612,1655564433612,1655564433612.0,,1655564433612.0,True
Jaya Jackson,Jaya.Jackson@test.com,8015551212,1098-01-01,220437fd-77f5-463a-8d93-f59c944e60d4,1655564436700,1655564436700,1655564436700.0,,,True
Jerry Jefferson,Jerry.Jefferson@test.com,8015551212,1964-01-01,f1ad9449-f80b-4dcb-8fab-66352e929322,1655564085333,1655564085333,1655564085333.0,,1655564085333.0,True
Jacob Habschied,Jacob.Habschied@test.com,8015551212,1934-01-01,276e1713-8675-495b-a4b3-c5015f0ca3a2,1655564087815,1655564087815,,,1655564087815.0,True
Santosh Olson,Santosh.Olson@test.com,8015551212,1265-01-01,fd4624c7-e15e-48be-bcf7-6ab67028a72c,1655564424393,1655564424393,,,1655564424393.0,True
Senthil Smith,Senthil.Smith@test.com,8015551212,1587-01-01,dbfde3b7-69bf-4c56-a9e8-dfd48af6df89,1655564400490,1655564400490,1655564400490.0,,,True
Neeraj Anandh,Neeraj.Anandh@test.com,8015551212,1478-01-01,17a34b4a-3018-416d-801c-cafd3bbe4b49,1655564408518,1655564408518,,1655564408518.0,,True
Santosh Davis,Santosh.Davis@test.com,8015551212,1745-01-01,b5f6b144-0260-4c4f-83e1-469150f9055b,1655564388124,1655564388124,1655564388124.0,,,True
Sarah Doshi,Sarah.Doshi@test.com,8015551212,1126-01-01,466bb1b9-5dc3-4607-8f76-e0bcdcf6b9c7,1655564145362,1655564145362,1655564145362.0,,,True
David Howard,David.Howard@test.com,8015551212,1456-01-01,d0234d78-d6df-4a1a-ace9-0e1c5773b7c7,1655564410194,1655564410194,,,1655564410194.0,True
Ben Phillips,Ben.Phillips@test.com,8015551212,1404-01-01,314ed64d-643f-4cd3-b164-f4a8ae02fc29,1655564125690,1655564125690,1655564125690.0,,1655564125690.0,True
Danny Wu,Danny.Wu@test.com,8015551212,1143-01-01,59b4d78f-2d3f-43a6-868c-dc4697b0b7ff,1655562450053,1655562512396,,1655562512396.0,,True
David Mitra,David.Mitra@test.com,8015551212,1201-01-01,ba582015-fbb3-4842-887a-e291f773df84,1655564429221,1655564429221,1655564429221.0,,,True
Edward Doshi,Edward.Doshi@test.com,8015551212,1220-01-01,3c5a4fff-3756-4907-9b4d-dfc03a7e1c31,1655564138704,1655564138704,,1655564138704.0,,True
Christina Mitra,Christina.Mitra@test.com,8015551212,1160-01-01,7414a106-ee97-4824-ab25-70bedeae1136,1655564432243,1655564432243,1655564432243.0,1655564432243.0,,True
Trevor Clayton,Trevor.Clayton@test.com,8015551212,1673-01-01,40c2f5c9-1aa1-4139-9dc8-8f91a6d40d48,1655564393958,1655564393958,,1655564393958.0,1655564393958.0,True
Liz Aristotle,Liz.Aristotle@test.com,8015551212,1033-01-01,cf977dd3-df90-492a-b05d-15fd3898a45b,1655564152526,1655564152526,1655564152526.0,1655564152526.0,,True
Danny Abram,Danny.Abram@test.com,8015551212,1272-01-01,dd97b03a-77a5-4fb2-8b9e-74b977a56a20,1655564423887,1655564423887,1655564423887.0,,1655564423887.0,True
